College Code,College Name,Department Code,Department Name,Course Number,Course Name (AR),Course Name (EN)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310100,الثقافه والادب فى الكويت,CULTURE &LITERATURE IN KUWAIT
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310101,مهارات الاتصال اللغوية,ARAB.LANG.COMMUN. SKILLS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310102,جماليات الادب العربى,THE AESTHETICS OF ARAB. LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310104,جماليات الاسلوب القرآنى,AESTHETICS OF QURANIC STYLISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310105,الشعر الجاهلي,PRE-ISLAMIC POETRY.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310107,نحو(1),GRAMMAR (1).
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310112,المكتبة الادبية,THE LITERARY LIBRARY.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310113,مكتبة لغوية ومعاجم,LING. LIBRARY&LEXICOGRAPHY
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310114,مدخل دراسه لغوية و نحويه,INTROD.TO LING&GRAM.STUDIES
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310115,مدخل دراسة أدبية ونقدية,INTROD.TO LIT.&CRITICAL STUD.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310116,مدخل الى علم اللغه,INTROD. TO LINGUISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310118,مهارات كتابيه,WRITING SKILLS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310205,العروض  والقافيه,PROSODY&RHYME
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310207,نحو(2),GRAMMAR (2).
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310210,السرديات العربيه القديمه,OLD ARABIC NARRATIVES
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310211,النثرالعربي القديم,CLASSICAL ARABIC PROSE.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310214,النفد العربى القديم(2),ANCIENT ARABIC CRITICISM (2)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310216,الصرف,MORPHOLOGY.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310218,نصوص قرانية,QURANIC TEXTS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310219,النقدالعربى القديم,ANCIENT ARABIC CRITICISM (1)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310220,الشعرالأسلامى والأموى,ISLAMIC&UMAYYAD POETRY.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310221,مناهج البحث فى الادب,METH.OF RESEARCH IN LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310222,مناهج البحث فى اللغة,RESEARCH METH.IN LANG.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310228,الشعر العباسى,ABBASID POETRY
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310229,الشعر العربي الحديث (1),MODERN ARABIC POETRY ( 1 )
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310300,نظريات النقد الحديث وتطبيقاتها,MOD.CRIT.THEORIES&PRACT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310304,البلاغه العربيه,ARABIC ELOQUENCE
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310309,نقد تطبيقي(شعر),PRACTICAL CRITICISM (1)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310311,الادب الشعبي,ARABIC FOLKORE
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310313,الادب الاندلسي و المغربي,ANDALUSIA&MOROCCO LITER.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310314,الشعر العربي الحديث,MODERN ARABIC POETRY.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310315,علم الدلالة,SEMANTICS.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310316,علم اللغة النفسي,PSYCHOLINGUISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310317,لغة فارسية(1),PERSIAN LANGUAGE.(1)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310318,لغة فارسية(2),PERSIAN LANGUAGE (2)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310319,لغة عبرية(1),HEBREW LANGUAGE(1)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310320,لغة عبريه(2),HEBREW LANGUAGE (2)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310322,اساليب نحويه,GRAMMATICAL STYLES.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310324,الشعر العباسى( 1),ABBASID POETRY (1)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310326,الادب المملوكى والعثمانى,MAMLUK & OTTOMAN LITER.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310329,الشعر العباسى(2),ABBASID POETRY(2)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310330,نحو(3),GRAMMAR (3).
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310332,علم بناء الجملة الحديث,PHILOSOPHY OF DIALOUGE ISLAM.MODELS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310338,علم الاسلوبيات,MODERN STYLISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310400,تطبيقات نقديه فى الشعر والقصه والمسرح,"PRACT.CRIT.POETRY,NOV.&DRAMA"
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310407,الادب المقارن,COMPARATIVE LITERATURE.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310408,أدب الخليج والجزيره العربيه,LIT.OF ARAB.GULF&PENIN.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310411,نقد تطبيقي(قصه),PRACTICAL CRITICISM(2)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310415,نقدتطبيقى(مسرح),PRACTICAL CRITICISM(3)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310416,النثر العربى الحديث,MODERN ARABIC PROSE
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310419,تطبيقات بلاغية وتقديه,ISSUES IN RHETORICS&CRITICISM
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310420,علم الاصوات,PHONETICS.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310421,نصوص قرآنية,QURANIC TEXTS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310422,موضوع متقدم فى الادب,ADVANCED TOPICS IN LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310423,موضوع متقدم في اللغه,ADVANCED STUDIES IN LINGUISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310424,علم اللغه الاجتماعى,SOCIOLINGUISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310425,الادب والتحليل النفسى,PSYCHO-ANALYSIS&LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310426,نظريات حديثه فى الدراسة اللغوية,MOD.THEO.LIGUISTIC STUD.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310427,الشعر العربى الحديث,MODERN ARABIC POETRY.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310432,قراءات في تراث اللغوى,READING IN GRAMM.HERITAGE
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310434,النقد الادبى الحديث(2),MODERN LITERARY CRITICISM (2)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310435,نحو(4),GRAMMAR (4)
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310436,علم اللغة الحاسوبى,COMPUTER ASSISTED LINGUISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310437,علم اللغه التقابلى,CONTRASTIVE LINGUISTICS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310438,البلاغة المقارنة,COMPARATIVE RHETORIC
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310439,النظريات المعاصره فى الترجمه,CONT.THEO.OF TRANSLATION
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310440,الدراسات المعجمية الحديثة,MODERN LEXICOGRAPHY
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310441,الاتجاهات الحديثة في الادب المقارن,INTERACTION BET.ARAB.&ORIENT.LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310442,أدب الرحلات فى التراث الادبى الشرقى,TRAVERL LIT.ORIENT.LIT.HERIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310443,الاسطوره فى الاداب الشرقيه,MYTH IN ORIENTAL LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310444,موضوع خاص فى الاداب الشرقية,SP.TOPICS IN ORIENT.LIT.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310445,موضوع خاص فى اللغات الشرقية,SP.TOPICS IN ORIENT.LANG.
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310446,مشروع تخرج في اللغه,GRADUATION REASEARCH PROJECT ( IN LINGUISTICS )
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310448,الشعر العربي الحديث 2,MODERN ARABIC POETRY
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310449,لسانيات المدونات اللغوية,LINGUISTICS BLOGS
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310451,الادب النسوى,FEMINIST LITERATURE
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310452,الاداب العربى والاستشراق,ARAB.LIT.&ORIENTALISM
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310453,الادب القديم والفلسفه,OLD ARABIC LIT.&PHILOSOPHY
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310455,الاتجاهات النقديه المعاصره,MODERN TRENDS IN LITERARY CRITICISM
3,Arts,310,Arabic Language And Literature-Undergraduate/Graduate,310456,القصه و الروايه في الادب العربي الحديث,NOVEL AND SHORT STORY IN MODERN ARAB LITERATURE
